iter	Logloss
0	0.6749880905
1	0.6596042919
2	0.6444448608
3	0.628923042
4	0.6148537212
5	0.601709817
6	0.5901689182
7	0.5786557701
8	0.5667802514
9	0.5558615772
10	0.5453919205
11	0.5372708191
12	0.5295738934
13	0.5218642219
14	0.5153273937
15	0.5091482314
16	0.5022504531
17	0.4971731221
18	0.4910386447
19	0.4861655722
20	0.4812724563
21	0.4764172318
22	0.4716962091
23	0.4672713526
24	0.4628060852
25	0.4590964238
26	0.456393275
27	0.4525151106
28	0.4493436484
29	0.4467572114
30	0.4435370212
31	0.440937538
32	0.4389346066
33	0.4351393182
34	0.432337839
35	0.4298988547
36	0.4269425517
37	0.4240530258
38	0.4215518944
39	0.4199082027
40	0.4182316864
41	0.4163846294
42	0.4141008817
43	0.4121337972
44	0.4101381669
45	0.4080208956
46	0.4060365785
47	0.4039388117
48	0.4023226821
49	0.4009472839
50	0.399096502
51	0.3974473944
52	0.3957754226
53	0.3942396167
54	0.3930137931
55	0.3917678866
56	0.3902854185
57	0.3884838476
58	0.387198337
59	0.3860428317
60	0.3849479056
61	0.3839546212
62	0.3822877125
63	0.3803664741
64	0.3792524818
65	0.3778172901
66	0.376236108
67	0.374714473
68	0.3738629359
69	0.3725002209
70	0.3717306548
71	0.3705170203
72	0.3690216519
73	0.368062612
74	0.3664315517
75	0.3657884777
76	0.3644065845
77	0.3632143335
78	0.3622583131
79	0.3607526098
80	0.3597318694
81	0.3587331891
82	0.3576130407
83	0.356556788
84	0.355873215
85	0.3546728621
86	0.3533359564
87	0.352671238
88	0.3515629975
89	0.3505576125
90	0.3497328586
91	0.3488408023
92	0.3481846167
93	0.3476367176
94	0.3464719667
95	0.345861535
96	0.3450137217
97	0.3435782697
98	0.342947335
99	0.3418836038
100	0.3412700427
101	0.3402653414
102	0.33978456
103	0.3391882227
104	0.3382273946
105	0.3374985922
106	0.3366604478
107	0.3357010065
108	0.3350253487
109	0.3341588106
110	0.3337584011
111	0.3332520365
112	0.3319767133
